height,weight,wingspan,points_scored,rebounds,assists,plusminus,fgpct,pheight,pweight,pwingspan,pos
205.53333333333333,105.53333333333335,220.3466666666667,0.4207573631948447,0.16830294527793788,0.04207573631948447,1,0.375,203.84,116.03,221.62,PF
196.64000000000001,96.93,214.20333333333335,0.591715976331361,0.1775147928994083,0.02958579881656805,6,0.538,198.76,105.41,219.08,SF
206.79999999999998,109.38999999999999,225.63666666666666,0.44009779955404377,0.20537897312522044,0.17603911982161752,7,0.294,203.84,102.78,221.62,PF
209.235,111.9,228.285,0.29515108920658456,0.46380885446749,0.04216444131522636,8,1.0,214.0,108.41,220.34,C
196.64000000000001,96.93,214.20333333333335,0.4588394062078273,0.21592442645074225,0.1349527665317139,2,0.375,200.66,102.24,220.34,SF
189.4433333333333,88.60000000000001,206.58333333333334,0.6758832565284179,0.09216589861751152,0.21505376344086025,10,0.471,185.42,74.75,202.56,PG
206.79999999999998,109.38999999999999,225.63666666666666,0.32944406318866765,0.32944406318866765,0.0,-5,0.444,201.93,106.14,215.26,PF
196.64000000000001,96.93,214.20333333333335,0.0,0.12383900928792571,0.12383900928792571,-3,0.0,203.84,86.91,214.0,SF
195.57666666666668,97.85666666666667,205.74,0.5398110661268556,0.18893387314439947,0.05398110661268556,-14,0.889,199.39,101.06,210.82,SF
193.03666666666666,89.93333333333334,204.4666666666667,0.0,0.14616321562634915,0.07308160781317458,2,0.0,196.22,94.35,208.28,SG
197.805,97.705,209.55,0.3703703703703704,0.1851851851851852,0.2469135802469136,14,0.4,200.02,98.07,210.18,SF
,,,0.44930875581213237,0.06912442397109729,0.0,11,0.714,211.46,117.03,227.33,C
197.805,97.705,209.55,0.1610305958132045,0.1288244766505636,0.0966183574879227,-5,0.5,191.77,86.09,200.66,SG
196.22,94.35,208.28,1.0479175995478802,0.21495745631751387,0.10747872815875693,12,0.45,187.32,85.64,202.56,PG
197.805,97.705,209.55,0.33623910332051815,0.14943960147578586,0.07471980073789293,11,0.75,194.94,109.41,206.38,SF
197.805,97.705,209.55,0.34398034398034394,0.09828009828009827,0.09828009828009827,-5,0.333,193.04,97.52,203.2,SG
199.39,101.06,210.82,0.5244755243838329,0.31468531463029975,0.10489510487676659,-10,0.625,207.01,111.67,218.44,PF
197.805,97.705,209.55,0.24439918528627308,0.12219959264313654,0.0,-3,0.667,196.22,89.18,215.26,SG
198.33333333333334,100.15333333333332,208.28333333333333,0.3076923076923077,0.24615384615384617,0.09230769230769231,3,0.6,190.5,95.62,213.36,SG
202.35666666666665,103.87333333333333,217.8066666666667,0.9902666103250332,0.27930596701475296,0.050782903093591444,18,0.5,205.74,97.52,225.42,SF
198.33333333333334,100.15333333333332,208.28333333333333,0.17291066282420747,0.17291066282420747,0.11527377521613832,-2,0.333,190.5,89.81,201.3,SG
198.33333333333334,100.15333333333332,208.28333333333333,0.4953219593280486,0.06604292791040649,0.0,-27,0.375,187.96,100.7,205.74,SG
202.35666666666665,103.87333333333333,217.8066666666667,0.15170670041762496,0.15170670041762496,0.0,-7,0.0,194.31,101.7,216.54,SF
195.58,94.31666666666666,213.36,0.0,0.0,0.0,-15,0.0,199.39,99.88,212.09,SF
195.58,94.31666666666666,213.36,0.6,0.22857142857142856,0.2571428571428571,22,0.5,201.3,111.13,214.0,SF
200.025,99.61,220.98,0.7643312101910829,0.3057324840764331,0.050955414012738856,7,0.588,206.38,100.61,227.33,PF
195.58,94.31666666666666,213.36,0.35842293906810035,0.07168458781362008,0.03584229390681004,-11,0.571,194.31,89.45,198.76,SG
200.025,99.61,220.98,0.3271028037383178,0.4672897196261683,0.04672897196261683,23,0.286,206.38,97.98,221.62,PF
191.98000000000002,91.38666666666666,200.44666666666663,0.9045226129744199,0.21105527636069799,0.060301507531627996,3,0.632,190.5,95.24,199.39,SG
195.36666666666667,98.82333333333332,205.3133333333333,0.37402597406483384,0.2181818182044864,0.09350649351620846,-15,0.5,199.39,96.43,212.72,SF
