player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Ben Gordon,PG/SG,185.42,188.6,87.09,204.47,2004
Russell Westbrook,PG,188.6,191.77,87.09,202.56,2008
Kim English,SG,194.31,197.48,87.09,199.39,2012
Gerald Green,SF,198.12,201.3,87.09,207.64,2005
McKinley Wright IV,PG,180.98,183.52,87.18,196.22,2021
Cody Martin,PG/SG,194.94,196.85,87.18,208.92,2019
Kadeem Allen,PG,185.42,188.6,87.27,206.38,2017
Terence Davis,SG,190.5,194.31,87.27,205.1,2019
Tyler Herro,SG,194.31,198.12,87.27,191.14,2019
Devyn Marble,SG,195.58,199.39,87.27,205.74,2014
Alec Burks,SG,195.58,198.12,87.36,208.28,2011
Deonte Burton,PG,182.88,186.06,87.45,200.66,2014
A.J. Price,PG,184.15,187.96,87.45,192.4,2009
Jordan Taylor,PG,185.42,187.96,87.45,190.5,2012
Gabriele Procida,SG/SF,197.48,202.56,87.45,203.2,2022
Chris Duhon,PG,182.88,186.06,87.54,199.39,2004
Dajuan Wagner,PG/SG,184.78,187.32,87.54,187.96,2002
Ashton Hagans,PG,186.69,189.23,87.54,203.2,2020
Jared Butler,PG,188.6,192.4,87.54,193.04,2021
Ruben Douglas,SG,191.77,194.31,87.54,201.3,2003
Joseph Forte,SG,191.77,194.31,87.54,199.39,2001
Sonny Weems,SG/SF,193.04,196.85,87.54,208.28,2008
Sasha Vujacic,PG/SG,196.85,199.39,87.54,196.85,2003
Rod Grizzard,SF/SG,198.12,200.66,87.54,213.36,2002
Dillon Mitchell,PF,200.02,202.56,87.54,208.28,2023
Randall Orr,PF/SF,205.74,210.18,87.54,209.55,2004
DeAnthony Melton,SG/PG,188.6,191.14,87.63,204.47,2018
Rayan Rupert,SF,198.12,200.66,87.63,218.44,2023
Carl Krauser,PG/SG,181.61,184.78,87.72,196.85,2005
Jahmi'us Ramsey,SG,189.23,192.28,87.72,198.12,2020
Jalen Harris,SG,189.86,193.55,87.72,200.66,2020
D?Angelo Russell,PG/SG,191.14,195.58,87.72,207.64,2015
Wesley Iwundu,SG/SF,196.85,200.02,87.72,215.9,2017
V.J. Beachem,SG/SF,198.76,203.2,87.72,208.92,2017
Justin Jackson,SF,200.66,203.84,87.72,210.18,2016
Demetrius Jackson,PG,182.88,186.06,87.91,196.85,2016
Jett Howard,SF,198.12,200.66,92.06,205.74,2023
Jason Gardner,PG,177.16,179.7,88,185.42,2003
Will Blalock,PG,180.98,184.15,88,198.12,2006
Myles Powell,PG/SG,184.15,186.69,88,200.66,2020
Brian Brown,PG/SG,189.23,191.77,88,200.66,2002
Pepe Sanchez,PG,190.5,193.04,88,191.77,2000
Ron Lewis,SG,187.96,194.31,88,199.39,2007
Isaiah Cousins,PG,191.14,194.31,88,198.76,2016
Javaris Crittenton,PG,190.5,194.94,88,196.85,2007
Kevin Murphy,SG,195.58,198.76,88,200.02,2012
Jeryl Sasser,PG/SG,196.85,199.39,88,209.55,2001
Kevin Huerter,SG,198.76,201.3,88,201.93,2018
