500,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
16,22300084,1610612742,DAL,Dallas,1641726,Dereck Lively II,Dereck,16.85,4,4,1,0,0,0,1,2,0.5,1,1,2,0,0,1,1,0,9,1
17,22300084,1610612742,DAL,Dallas,202681,Kyrie Irving,Kyrie,33.93333333,6,17,0.353,1,4,0.25,4,4,1,1,6,7,6,0,0,0,2,17,-7
18,22300084,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,36.03333333,16,25,0.64,9,14,0.643,8,10,0.8,1,9,10,7,0,0,0,1,49,9
19,22300084,1610612742,DAL,Dallas,1630182,Josh Green,Josh,27.83333333,2,7,0.286,0,3,0,3,6,0.5,1,2,3,2,3,0,3,2,7,8
20,22300084,1610612742,DAL,Dallas,203501,Tim Hardaway Jr.,Tim,30.21666667,6,17,0.353,3,7,0.429,4,4,1,1,3,4,1,0,0,1,2,19,13
21,22300084,1610612742,DAL,Dallas,1628467,Maxi Kleber,Maxi,25.9,0,3,0,0,0,0,0,0,0,1,4,5,2,0,0,0,1,0,10
22,22300084,1610612742,DAL,Dallas,203957,Dante Exum,Dante,4.033333333,1,2,0.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,-1
23,22300084,1610612742,DAL,Dallas,203552,Seth Curry,Seth,8.866666667,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
24,22300084,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,12.85,4,4,1,1,1,1,2,2,1,2,0,2,0,1,0,0,0,11,-6
0,22300086,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,35.36666667,6,16,0.375,3,9,0.333,8,9,0.889,0,5,5,3,1,1,3,2,23,11
1,22300086,1610612753,ORL,Orlando,1631094,Paolo Banchero,Paolo,35.13333333,5,12,0.417,0,0,0,4,9,0.444,2,5,7,4,2,0,3,1,14,2
